item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,product_description,current_status,kewords,topic_group,topic_desc
19297275,NORRÅKER / NORRÅKER,Tables & desks,1266,"SR 1,385",TRUE,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-birch-birch-s19297275/,No,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,,,,Item discontinued,Item discontinued,,,
19305044,MÖRBYLÅNGA / ODGER,Tables & desks,3475,No old price,TRUE,https://www.ikea.com/sa/en/p/moerbylanga-odger-table-and-4-chairs-oak-veneer-brown-stained-anthracite-s19305044/,No,"        Table and 4 chairs,          140x85 cm",J Löfgren/J Pettersson/S Lanneskog/J Marnell,,74,85,Item discontinued,Item discontinued,,,
19335550,LINNMON / ALEX,Tables & desks,460,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-alex-table-green-white-s19335550/,Yes,"        Table,          120x60 cm",Johanna Asshoff/IKEA of Sweden,,74,60,Item discontinued,Item discontinued,,,
20340824,EKEDALEN,Tables & desks,795,No old price,FALSE,https://www.ikea.com/sa/en/p/ekedalen-extendable-table-dark-brown-20340824/,No,"        Extendable table,          80/120x70 cm",Ehlén Johansson,,75,70,Item discontinued,Item discontinued,,,
20255321,BEKANT,Tables & desks,545,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-table-top-white-20255321/,Yes,"        Table top,          140x60 cm",K Malmvall/E Lilja Löwenhielm,,,60,Item discontinued,Item discontinued,,,
29061210,BEKANT,Tables & desks,3249,"SR 3,690",TRUE,https://www.ikea.com/sa/en/p/bekant-reception-desk-sit-stand-white-s29061210/,No,"        Reception desk sit/stand,          160x80 55 cm",K Malmvall/E Lilja Löwenhielm,,,80,Item discontinued,Item discontinued,,,
29296906,MÖRBYLÅNGA / ODGER,Tables & desks,4265,No old price,TRUE,https://www.ikea.com/sa/en/p/moerbylanga-odger-table-and-6-chairs-oak-veneer-blue-s29296906/,No,"        Table and 6 chairs,          220x100 cm",J Löfgren/J Pettersson/S Lanneskog/J Marnell,,,100,Item discontinued,Item discontinued,,,
29331354,LINNMON / KRILLE,Tables & desks,475,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-krille-table-light-grey-white-s29331354/,Yes,"        Table,          150x75 cm",Francis Cayouette/IKEA of Sweden,,74,75,Item discontinued,Item discontinued,,,
30247104,SLÄHULT,Tables & desks,420,No old price,TRUE,https://www.ikea.com/sa/en/p/slaehult-table-top-white-30247104/,No,"        Table top,          185x90x2 cm",IKEA of Sweden,,,90,Item discontinued,Item discontinued,,,
30252911,BEKANT,Tables & desks,700,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-underframe-for-table-top-white-30252911/,Yes,"        Underframe for table top,          120x80 cm",K Malmvall/E Lilja Löwenhielm,,,80,Item discontinued,Item discontinued,,,
30255325,BEKANT,Tables & desks,725,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-underframe-for-table-top-black-30255325/,Yes,"        Underframe for table top,          140x60 cm",K Malmvall/E Lilja Löwenhielm,,,60,Item discontinued,Item discontinued,,,
30279449,VÄSTANBY,Tables & desks,720,SR 900,TRUE,https://www.ikea.com/sa/en/p/vaestanby-table-top-dark-brown-30279449/,No,"        Table top,          170x78x5 cm",IKEA of Sweden,,,78,Item discontinued,Item discontinued,,,
30366286,BEKANT,Tables & desks,545,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-right-hand-corner-table-top-linoleum-blue-30366286/,Yes,"        Right-hand corner table top,          160x110 cm",K Malmvall/E Lilja Löwenhielm,,,110,Item discontinued,Item discontinued,,,
39284677,BEKANT,Tables & desks,2480,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-conference-table-white-stained-oak-veneer-black-s39284677/,Yes,"        Conference table,          140 cm",K Malmvall/E Lilja Löwenhielm,,73,140,Item discontinued,Item discontinued,,,
39297156,STENSELE / RÖNNINGE,Tables & desks,1140,No old price,TRUE,https://www.ikea.com/sa/en/p/stensele-roenninge-table-and-2-chairs-anthracite-anthracite-green-s39297156/,No,        Table and 2 chairs,Maja Ganszyniec,,,,Item discontinued,Item discontinued,,,
39305180,NORDVIKEN / LEIFARNE,Tables & desks,2275,No old price,TRUE,https://www.ikea.com/sa/en/p/nordviken-leifarne-table-and-4-chairs-white-broringe-white-s39305180/,No,"        Table and 4 chairs,          152/223x95 cm",Francis Cayouette/Mia Lagerman,,,95,Item discontinued,Item discontinued,,,
49284610,BEKANT,Tables & desks,1240,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-conference-table-white-stained-oak-veneer-black-s49284610/,Yes,"        Conference table,          140x70 cm",K Malmvall/E Lilja Löwenhielm,,73,70,Item discontinued,Item discontinued,,,
49304769,NORDVIKEN / LEIFARNE,Tables & desks,3165,No old price,TRUE,https://www.ikea.com/sa/en/p/nordviken-leifarne-table-and-6-chairs-white-dark-yellow-white-s49304769/,No,"        Table and 6 chairs,          210/289x105 cm",Francis Cayouette/Mia Lagerman,,,105,Item discontinued,Item discontinued,,,
49331310,LINNMON / KRILLE,Tables & desks,385,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-krille-table-light-grey-white-s49331310/,Yes,"        Table,          120x60 cm",Francis Cayouette/IKEA of Sweden,,74,60,Item discontinued,Item discontinued,,,
49335515,LINNMON / OLOV,Tables & desks,285,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-olov-table-green-black-s49335515/,Yes,"        Table,          120x60 cm",IKEA of Sweden,,,60,Item discontinued,Item discontinued,,,
59131626,MÖRBYLÅNGA / BERNHARD,Tables & desks,6965,No old price,TRUE,https://www.ikea.com/sa/en/p/moerbylanga-bernhard-table-and-6-chairs-brown-kavat-white-s59131626/,No,"        Table and 6 chairs,          220x100 cm",Ola Wihlborg/S Lanneskog/J Marnell,,74,100,Item discontinued,Item discontinued,,,
59277015,MÖCKELBY / HENRIKSDAL,Tables & desks,4265,No old price,TRUE,https://www.ikea.com/sa/en/p/moeckelby-henriksdal-table-and-6-chairs-oak-dark-brown-blekinge-white-s59277015/,No,"        Table and 6 chairs,          235x100 cm",IKEA of Sweden/Marcus Arvonen,,74,100,Item discontinued,Item discontinued,,,
59287929,BEKANT,Tables & desks,3064,"SR 3,690",TRUE,https://www.ikea.com/sa/en/p/bekant-desk-with-screen-white-stained-oak-veneer-black-s59287929/,Yes,"        Desk with screen,          160x160 55 cm",K Malmvall/E Lilja Löwenhielm,,,160,Item discontinued,Item discontinued,,,
60252877,BEKANT,Tables & desks,745,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-frame-for-half-round-table-top-black-60252877/,Yes,"        Frame for half-round table top,          140x70 cm",K Malmvall/E Lilja Löwenhielm,,73,70,Item discontinued,Item discontinued,,,
69130612,VÄSTANBY/VÄSTANÅ / LEIFARNE,Tables & desks,2095,"SR 2,275",TRUE,https://www.ikea.com/sa/en/p/vaestanby-vaestana-leifarne-table-and-4-chairs-dark-brown-white-s69130612/,No,"        Table and 4 chairs,          170 cm",Mia Lagerman/IKEA of Sweden/Chris Martin,,75,78,Item discontinued,Item discontinued,,,
69161552,RYDEBÄCK/BACKARYD / JANINGE,Tables & desks,1395,"SR 1,450",TRUE,https://www.ikea.com/sa/en/p/rydebaeck-backaryd-janinge-table-and-4-chairs-white-white-s69161552/,No,"        Table and 4 chairs,          150 cm",David Wahl/IKEA of Sweden/John/Jonas/Petrus/Paul/Caroline,,75,78,Item discontinued,Item discontinued,,,
69213928,KLIMPEN,Tables & desks,1515,No old price,TRUE,https://www.ikea.com/sa/en/p/klimpen-table-grey-light-grey-s69213928/,No,"        Table,          120x60 cm",Tina Christensen,,73,60,Item discontinued,Item discontinued,,,
69221283,EKEDALEN / ODGER,Tables & desks,1149,"SR 1,385",FALSE,https://www.ikea.com/sa/en/p/ekedalen-odger-table-and-2-chairs-dark-brown-brown-s69221283/,No,"        Table and 2 chairs,          80/120 cm",Ehlén Johansson/J Löfgren/J Pettersson,,,,Item discontinued,Item discontinued,,,
69229222,EKEDALEN / HENRIKSDAL,Tables & desks,2765,No old price,TRUE,https://www.ikea.com/sa/en/p/ekedalen-henriksdal-table-and-6-chairs-brown-ramna-orrsta-light-grey-s69229222/,No,"        Table and 6 chairs,          180/240 cm",IKEA of Sweden/Ehlén Johansson,,,,Item discontinued,Item discontinued,,,
69229934,LINNMON / TORSKLINT,Tables & desks,459,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-torsklint-table-white-light-grey-s69229934/,No,"        Table,          100x60 cm",IKEA of Sweden/Jomi Evers,,74,60,Item discontinued,Item discontinued,,,
79046991,BEKANT,Tables & desks,1834,"SR 2,590",TRUE,https://www.ikea.com/sa/en/p/bekant-reception-desk-white-s79046991/,No,"        Reception desk,          160x80 120 cm",K Malmvall/E Lilja Löwenhielm,80,,,Item discontinued,Item discontinued,,,
80356341,KLIMPEN,Tables & desks,475,No old price,TRUE,https://www.ikea.com/sa/en/p/klimpen-table-top-grey-light-grey-80356341/,Yes,"        Table top,          120x60 cm",Tina Christensen,,,60,Item discontinued,Item discontinued,,,
89259840,MÖRBYLÅNGA / VOLFGANG,Tables & desks,3795,No old price,TRUE,https://www.ikea.com/sa/en/p/moerbylanga-volfgang-table-and-4-chairs-brown-gunnared-medium-grey-s89259840/,No,"        Table and 4 chairs,          140x85 cm",S Lanneskog/J Marnell,,74,85,Item discontinued,Item discontinued,,,
89304767,NORDVIKEN / LEIFARNE,Tables & desks,3165,No old price,TRUE,https://www.ikea.com/sa/en/p/nordviken-leifarne-table-and-6-chairs-black-light-olive-green-black-s89304767/,No,"        Table and 6 chairs,          210/289x105 cm",Mia Lagerman/Francis Cayouette,,,105,Item discontinued,Item discontinued,,,
89305168,NORDVIKEN / RÖNNINGE,Tables & desks,2875,No old price,TRUE,https://www.ikea.com/sa/en/p/nordviken-roenninge-table-and-4-chairs-white-birch-s89305168/,No,"        Table and 4 chairs,          152/223x95 cm",Francis Cayouette/Maja Ganszyniec,,,95,Item discontinued,Item discontinued,,,
99213941,KLIMPEN / LALLE,Tables & desks,850,No old price,TRUE,https://www.ikea.com/sa/en/p/klimpen-lalle-table-light-grey-black-s99213941/,No,"        Table,          150x75 cm",Tina Christensen,,73,75,Item discontinued,Item discontinued,,,
99214200,LINNMON / GODVIN,Tables & desks,215,No old price,TRUE,https://www.ikea.com/sa/en/p/linnmon-godvin-table-geometric-beige-white-s99214200/,Yes,"        Table,          120x60 cm",Gustav Carlberg/IKEA of Sweden,,74,60,Item discontinued,Item discontinued,,,
99251853,TORSBY / VOLFGANG,Tables & desks,2395,No old price,TRUE,https://www.ikea.com/sa/en/p/torsby-volfgang-table-and-4-chairs-high-gloss-white-bomstad-black-s99251853/,No,        Table and 4 chairs,IKEA of Sweden/Carl Öjerstam,,73,85,Item discontinued,Item discontinued,,,
99288069,BEKANT,Tables & desks,6128,"SR 7,380",TRUE,https://www.ikea.com/sa/en/p/bekant-desk-with-screen-black-stained-ash-veneer-black-s99288069/,Yes,"        Desk with screen,          320x160 55 cm",K Malmvall/E Lilja Löwenhielm,,,160,Item discontinued,Item discontinued,,,
99305158,NORDVIKEN / RÖNNINGE,Tables & desks,2875,No old price,TRUE,https://www.ikea.com/sa/en/p/nordviken-roenninge-table-and-4-chairs-black-green-s99305158/,No,"        Table and 4 chairs,          152/223x95 cm",Francis Cayouette/Maja Ganszyniec,,,95,Item discontinued,Item discontinued,,,
